MPD ID,MeSH ID
26709,D003318
26710,D003318|D002386
26712,D003103|D007499
26713,D007499
26715,D002386
26717,D002386
26718,D002386
26719,D003103
26720,D012174|D012160
26721,D012162
9904,D008076
9907,D008076
39407,D015262|D006220
39408,D015262|D006220
39409,D015262|D006220
39410,D015262|D006220
39411,D015262|D006220
39445,D015262|D006220
10304,D008136
10305,D001835
10306,D001835
10307,D001835
10308,D013649
10309,D013649
10310,D013649
10311,D013649
10312,D013649
10313,D013649
10314,D013649
10315,D013649
10316,D013649
10317,D013649
10318,D013649
10319,D013649
10325,D008136
10326,D015519
10327,D015519
10328,D013851
10329,D000273
10330,D001835
10331,D000273
10332,D013851
10402,D001794
10403,D006321
10405,D006321
10404,D006321
10406,D006321
10407,D006321
10408,D006321
10409,D006321
10411,D006321
10413,D006321
10414,D006321
10415,D013950
10416,D013950
10417,D000311
10419,D000311
10418,D000311
10420,D000311
10421,D000311
10423,D009929|D007668
10425,D009929|D007668
10424,D007668
10426,D007668
10427,D007668
10428,D007668
10804,D001921
10815,D001921
10806,D003337
10807,D020712
10808,D066240
10809,D003337
10810,D020712
10811,D007032
10812,D003337
10813,D020712
10814,D007032
10820,D009043
10821,D009043
10822,D009043
10823,D009043
10824,D009043
10825,D009043
10833,D009043
10840,D009043
10841,D009043
10842,D009043
10843,D009043
10844,D009043
10846,D009043
10850,D005106
10853,D005106
10854,D005106
11003,D008334
11004,D008334
11005,D008334
11006,D008334
11007,D008334
11008,D008334
11009,D008334
11010,D008334
11011,D008334
11012,D008334
11013,D008334
11014,D008334
11015,D008334
11016,D008334
11017,D008334
11506,D015519
11508,D015519
11510,D009765|D001835
11512,D000273
11514,D009765|D001835
11515,D000273
11516,D015519
11517,D015519
11518,D015519
11519,D015519
11520,D012886
11521,D012886
11522,D005123
11523,D008437
11524,D015519
11530,D015675
11531,D008437
11532,D007334
11602,D009504
11603,D018655
11604,D009504
11605,D018655
11608,D063847
11616,D000236
11656,D000236
11617,D000236
11657,D000236
11618,D019337
11658,D019337
11619,D009369
11659,D009369
11620,D005770
11660,D005770
13204,D007958
13205,D004906
13206,D004909|D006454
13207,D006400
13208,D004909
13209,D004909
13210,D004909
13211,D010976
13212,D063847
13213,D004909
13214,D009504
13215,D018655
1402,D016057
1403,D016057
1404,D016057
1405,D016057
1407,D016057
1408,D016057|D003638
1409,D016057|D003638
1410,D016057|D003638
14302,D005947
14303,D005947
14305,D007328
14306,D020738
14308,D001835
14312,D015519
14314,D015519
14316,D049628
14317,D000273
14318,D013851
14319,D000273
14403,D006339
14404,D006339
14501,D005106
14502,D005106
14503,D005106
14504,D005106
14505,D005106
14506,D005106
14510,D005106
14511,D005106
14513,D005106
14514,D005106
14515,D005106
14517,D005106
14941,D005298
14961,D043762
14965,D043763
15701,D017948
15850,D011597
15851,D011597|D000431
15855,D011597|D004856
15856,D011597|D004856
16001,D001520
16003,D001520
16004,D001522
16006,D001520
16007,D001520
16008,D001520
16009,D001520
16011,D001520
16205,D003863|D007099
16212,D007099
16213,D007099
16214,D007099
16215,D007099
16216,D007099
16217,D007099
1704,D006339
1705,D006339
1706,D006339
1707,D006339
1708,D006339
1709,D004562
17202,D015519
17203,D015519
17204,D015519
17205,D015519
17206,D015519|D050723
17207,D015519|D050723
17208,D015519|D050723
17209,D015519|D050723
17210,D015519|D050723
17211,D015519|D050723
17212,D015519|D050723
17213,D015519|D050723
17214,D015519|D050723
17215,D015519|D050723
17216,D015519|D050723
17217,D015519|D050723
17218,D015519|D050723
17219,D015519|D050723
17220,D015519|D050723
17221,D015519|D050723
17222,D015519|D050723
17223,D052097
17224,D052097
17230,D055119
17231,D053580
17701,D011674
17703,D001794
17704,D001794|D006973
19106,D011597|D000431
19107,D011597|D000431
19112,D000435|D000431
19113,D000435|D000431
19114,D000435|D000431
19115,D000435|D000431
19303,D013480|D009865
19305,D013480|D009865
19306,D013480
19307,D013480|D009865
19311,D027724
19312,D027724
19322,D005307
19404,D047508|D056486
19405,D047508|D056486
19435,D047508|D056486
19465,D047508|D056486
19406,D000410
19501,D001835
19502,D001835
19503,D020751
19504,D020751
19505,D020751
19506,D020751
19701,D008076
19702,D002784
19703,D002784
19704,D014280
21401,D009043
21402,D009043
21403,D009043
21404,D009043
22505,D065853
22506,D065853
22508,D065853
22515,D065853
22516,D065853
22517,D065853
22518,D065853
22541,D065853
22542,D065853
22546,D065853
22552,D014792|D010364
22555,D065853
22557,D014796
22558,D014796
22559,D014796
22569,D014796
22561,D011597
22562,D011597
22563,D011597
22564,D011597
22565,D011597
22566,D011597
22567,D011597
22601,D002149|D004435
22602,D002149|D004435
22603,D002149|D004435
22604,D002149|D004435
22605,D002149
22606,D002149
22607,D002149
22608,D002149
22609,D002149|D004435
22610,D002149|D004435
22611,D002149|D004435
22612,D002149|D004435
22613,D002149|D004435
22614,D002149|D004435
22615,D002149|D004435
22616,D002149|D004435
22617,D002149|D013395
22618,D002149|D013395
22619,D002149|D013395
22624,D002149
22625,D002149
22626,D002149
22627,D002149
23201,D008136
23401,D008136
23601,D006339
23602,D001794
23603,D001794
24201,D007958
24202,D007958
24203,D007958
24204,D007958
24206,D007958
24207,D007958
24208,D007958
24209,D007958
24211,D009504
24212,D009504
24213,D009504
24214,D009504
24216,D004804
24217,D004804
24218,D004804
24219,D004804
24221,D009000
24222,D009000
24223,D009000
24224,D009000
24225,D001402
24226,D001402
24227,D001402
24228,D001402
24229,D013601
24230,D013601
24231,D013601
24232,D013601
24233,D013601
24234,D013601
24235,D013601
24236,D013601
24237,D013601
24238,D013601
24239,D013601
24240,D013601
24241,D050378|D013601
24242,D050378|D013601
24243,D050378|D013601
24244,D050378|D013601
24246,D013601
24247,D013601
24248,D013601
24249,D013601
24251,D018414
24252,D018414
24253,D018414
24254,D018414
24256,D018414
24257,D018414
24258,D018414
24259,D018414
24261,D018414
24262,D018414
24263,D018414
24264,D018414
24266,D018414
24267,D018414
24268,D018414
24269,D018414
24271,D018414
24272,D018414
24273,D018414
24274,D018414
24276,D055611
24277,D055611
24278,D055611
24279,D055611
24301,D007958
24302,D007958
24303,D007958
24304,D007958
24305,D004906
24306,D004906
24307,D004906
24308,D004906
24309,D009504
24310,D009504
24311,D009504
24312,D009504
24313,D018655
24314,D018655
24315,D018655
24316,D018655
24317,D009000
24318,D009000
24319,D009000
24320,D009000
24321,D004804
24322,D004804
24323,D004804
24324,D004804
24325,D001491
24326,D001491
24327,D001491
24328,D001491
24329,D007960
24330,D007960
24331,D007960
24332,D007960
24333,D009504
24334,D009504
24335,D009504
24336,D009504
24337,D018655
24338,D018655
24339,D018655
24340,D018655
24341,D009000
24342,D009000
24343,D009000
24344,D009000
24345,D004804
24346,D004804
24347,D004804
24348,D004804
24349,D001491
24350,D001491
24351,D001491
24352,D001491
24353,D007960
24354,D007960
24355,D007960
24356,D007960
24357,D006400
24358,D006400
24359,D006400
24360,D006400
24361,D006454
24362,D006454
24363,D006454
24364,D006454
24365,D006454
24366,D006454
24367,D006454
24368,D006454
24369,D004909|D006454
24370,D004909|D006454
24371,D004909|D006454
24372,D004909|D006454
24373,D004909
24374,D004909
24375,D004909
24376,D004909
24377,D017701
24378,D017701
24379,D017701
24380,D017701
24381,D017701
24382,D017701
24383,D017701
24384,D017701
24385,D006454
24386,D006454
24387,D006454
24388,D006454
24389,D063847
24390,D063847
24391,D063847
24392,D063847
24393,D010976
24394,D010976
24395,D010976
24396,D010976
24401,D000410
24402,D000410
24403,D000410
24406,D008071|D008049
24407,D008071|D008049
24408,D008071|D008049
24411,D000469
24412,D000469
24413,D000469
24416,D002118
24417,D002118
24418,D002118
24421,D002712
24422,D002712
24423,D002712
24426,D058085
24427,D058085
24428,D058085
24431,D017616
24432,D017616
24433,D017616
24436,D010758
24437,D010758
24438,D010758
24441,D011188
24442,D011188
24443,D011188
24446,D012964
24447,D012964
24448,D012964
24451,D012709
24452,D012709
24453,D012709
24456,D001798
24457,D001798
24458,D001798
24461,D001785
24462,D001785
24463,D001785
24471,D008076
24472,D008076
24473,D008076
24476,D013974
24477,D013974
24478,D013974
24481,D001806
24482,D001806
24483,D001806
24716,D005106
24717,D005106
24718,D005106
24726,D005106
24727,D005106
24728,D005106
24801,D011597
24802,D011597
24803,D011597
24804,D011597
24901,D006339
24902,D006339
24903,D006339
24916,D004562
24917,D004562
24918,D004562
24921,D004562
24922,D004562
24923,D004562
24926,D004562
24927,D004562
24928,D004562
24931,D004562
24932,D004562
24933,D004562
25001,D049628
25002,D049628
25003,D049628
25006,D001835
25007,D001835
25008,D001835
25011,D015519
25012,D015519
25013,D015519
25016,D015519
25017,D015519
25018,D015519
25021,D015519
25022,D015519
25023,D015519
25026,D049628
25027,D049628
25028,D049628
25031,D015992
25032,D015992
25033,D015992
25036,D000273
25037,D000273
25038,D000273
25041,D049628
25042,D049628
25043,D049628
25046,D013851
25047,D013851
25048,D013851
25051,D000273
25052,D000273
25053,D000273
25231,D004900
25232,D004900
25233,D004900
25235,D048629
25236,D048629
25237,D048629
25402,D012741
25601,D000428
25602,D000428
25603,D000428
25604,D013649
25605,D000428
25606,D000428
25607,D000428
25801,D050378
26101,D005353
26711,D003315|D003316
26714,D007499
26722,D009898
27001,D007334
27002,D007334
27003,D007334
27011,D001835
27012,D001835
27013,D001835
2905,D001835
2906,D001835
2907,D006529
2911,D005705
2915,D005704|D002764
2919,D002764
2920,D002784
2921,D008075
2922,D002784
2923,D008076
2925,D001647
2929,D002784
29701,D003928
29702,D003928
29703,D003928
29711,D003404
29712,D003404
29713,D003404
29801,D062086
29802,D004424
29803,D062086
29806,D004424
29820,D008136
30101,D001522
30106,D012919
30107,D005106
30123,D012919
30124,D012919
30401,D007568
30402,D008406
30403,D015519
30404,D008335
30406,D008335
30407,D008335
30408,D001835
30480,D008136
31402,D005298
31801,D007958
31802,D004906
31805,D009504
31806,D018655
31807,D009000
31808,D004804
31820,D010976
31821,D010976
31825,D006454
31826,D006454
31827,D004906
31828,D006454
31831,D004906
31832,D006454
31834,D017701
31841,D002784
31842,D008076
31845,D014280
31848,D005227
31855,D012964
31857,D002712
31861,D001785
31862,D001806
31870,D013974
31880,D015519
31887,D000273
31888,D001835
31889,D049628
32601,D006321
32602,D006321
32605,D000273
32606,D000273
32607,D000273
32608,D000273
32609,D007668
32610,D007668
33201,D006339
33202,D006339
33203,D006339
33204,D006339
33205,D006339
33206,D006339
33207,D006339
33208,D006339
33209,D001794
33210,D001794
33211,D001794
33212,D001794
33213,D004562
33214,D004562
33215,D004562
33216,D004562
33217,D004562
33218,D004562
33219,D004562
33220,D004562
33233,D004562
33234,D004562
33235,D004562
33236,D004562
33249,D004562
33250,D004562
33251,D004562
33252,D004562
33266,D007545|D001835
33267,D007545|D001835
33268,D007545|D001835
33269,D007545|D001835
33270,D009929
33271,D009929
33272,D009929
33273,D009929
33274,D006321
33275,D006321
33276,D006321
33277,D006321
33278,D009929
33279,D009929
33280,D009929
33281,D009929
33282,D009929
33283,D009929
33284,D009929
33285,D009929
33286,D009929
33287,D009929
33288,D009929
33289,D009929
33290,D009929
33291,D009929
33292,D009929
33293,D009929
33294,D009929
33295,D009929
33296,D009929
33297,D009929
33403,D006934
33433,D006934
33404,D005969
33434,D005969
33405,D001786
33435,D001786
33406,D002784
33436,D002784
33407,D008076
33437,D008076
33408,D005230
33438,D005230
33409,D014280
33439,D014280
34201,D000403
34210,D000403
34211,D000403
34212,D000403
34213,D000403
34214,D000403
34221,D000403
34222,D000403
34223,D000403
34224,D000403
34601,D010805
34602,D010805
34605,D055495
34606,D055495
34607,D055495
34608,D055495
