"","x"
"1","0610007C21Rik"
"2","0610007L01Rik"
"3","0610007P08Rik"
"4","0610007P22Rik"
"5","0610008F07Rik|Hnf4a"
"6","0610009B14Rik"
"7","0610009B22Rik"
"8","0610009D07Rik"
"9","0610009L18Rik"
"10","0610009O20Rik"
"11","0610010B08Rik"
"12","0610010F05Rik"
"13","0610010K14Rik"
"14","0610010O12Rik"
"15","0610011F06Rik"
"16","0610011L14Rik"
"17","0610012H03Rik"
"18","0610025J13Rik"
"19","0610030E20Rik"
"20","0610037L13Rik"
"21","0610037P05Rik"
"22","0610039K10Rik"
"23","0610040B10Rik"
"24","0610040J01Rik"
"25","0910001L09Rik"
"26","1100001E04Rik"
"27","1100001G20Rik"
"28","1110001A16Rik"
"29","1110002B05Rik"
"30","1110002L01Rik"
"31","1110002N22Rik"
"32","1110003E01Rik"
"33","1110004E09Rik"
"34","1110004F10Rik"
"35","1110006G14Rik"
"36","1110007A13Rik"
"37","1110007C09Rik"
"38","1110007L15Rik"
"39","1110008E08Rik"
"40","1110008F13Rik"
"41","1110008F13Rik|Sla2"
"42","1110008J03Rik"
"43","1110008L16Rik"
"44","1110008P14Rik"
"45","1110012J17Rik"
"46","1110012L19Rik"
"47","1110014N23Rik"
"48","1110015M06Rik"
"49","1110017D15Rik"
"50","1110018G07Rik"
"51","1110018H23Rik"
"52","1110018J18Rik"
"53","1110020C17Rik"
"54","1110020G09Rik"
"55","1110021J02Rik"
"56","1110028C15Rik"
"57","1110030E23Rik"
"58","1110031I02Rik"
"59","1110032A03Rik"
"60","1110032A04Rik"
"61","1110032A13Rik"
"62","1110032F04Rik"
"63","1110034A24Rik"
"64","1110034B05Rik"
"65","1110034G24Rik"
"66","1110036O03Rik"
"67","1110037F02Rik"
"68","1110038D17Rik"
"69","1110038D17Rik|Upb1"
"70","1110038F14Rik"
"71","1110049F12Rik"
"72","1110051M20Rik"
"73","1110054O05Rik"
"74","1110057K04Rik"
"75","1110057P08Rik"
"76","1110058L19Rik"
"77","1110059E24Rik"
"78","1110059G10Rik"
"79","1110059M19Rik"
"80","1110067D22Rik"
"81","1190002A17Rik"
"82","1190002H23Rik"
"83","1190002N15Rik"
"84","1190003J15Rik"
"85","1190005F20Rik"
"86","1190005I06Rik"
"87","1190007F08Rik"
"88","1190007F08Rik|1190007F08Rik"
"89","1190007I07Rik"
"90","1200009I06Rik"
"91","1200009O22Rik"
"92","1200011I18Rik"
"93","1200011M11Rik"
"94","1200014J11Rik"
"95","1200014M14Rik"
"96","1200016B10Rik"
"97","1300001I01Rik"
"98","1300002K09Rik"
"99","1300003B13Rik"
"100","1300010F03Rik"
"101","1300010F03Rik|1300010F03Rik"
"102","1300014I06Rik"
